"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1962,465.934782608696,410,458,518,539.45,407.285714285714,NA
"2",1963,462.027397260274,267,375,748.8,1038,242.857142857143,348.093571428571
"3",1964,386.795081967213,277,349,549.5,620.25,236.714285714286,335.566985746494
"4",1965,653.824657534247,349,500,1270,1576,260.142857142857,440.4514592105
"5",1966,705.441095890411,357.8,605,1210,1484,316.571428571429,515.804038427326
"6",1967,835.432876712329,434,702,1450,1700,392.857142857143,676.399155413483
"7",1968,950.784153005465,578,810,1385,1782.5,502.857142857143,677.378913115172
"8",1969,1059.39726027397,557.2,964,1714,1980,503.285714285714,846.9542530985
"9",1970,898.194520547945,561.2,774,1420,1642,492.285714285714,717.407738836506
"10",1971,754.282191780822,419.4,608,1246,1640,375.714285714286,585.294713953834
"11",1972,926.081967213115,556,891,1290,1575,500.428571428571,722.273091882712
"12",1973,1264.18630136986,717.2,1130,1926,2158,518.428571428571,1001.79092446985
"13",1974,1290.01917808219,619.2,1020,2510,2956,561.571428571429,987.939726027397
"14",1975,1173.0904109589,670.4,1080,1770,2020,442.428571428571,872.178618835998
"15",1976,1096.03825136612,520.5,827.5,2090,2457.5,445,891.781019697021
"16",1977,711.172602739726,398,573,1306,1552,347.571428571429,557.021578285842
"17",1978,876.756164383562,516,717,1356,2144,402,690.605227223309
"18",1979,915.613698630137,496.4,767,1580,1730,392,736.322368094151
"19",1984,827.45652173913,621,810,1000,1054.5,602.857142857143,NA
"20",1985,1289.85753424658,622.4,1000,2438,3088,585,995.853248552297
"21",1986,1237.50410958904,707.6,1130,1746,2430,577.142857142857,902.594523489422
"22",1987,820.128767123288,501.2,762,1156,1418,467.857142857143,671.959705108307
"23",1988,963.133879781421,434.5,992.5,1505,1805,361.285714285714,786.588266587065
"24",1989,1078.59452054795,659,955,1540,1838,630.857142857143,859.85669653586
"25",1990,1233.70136986301,659.4,1140,1942,2250,586.285714285714,906.716382028986
"26",1991,1155.69315068493,582.6,1110,1816,2038,525.142857142857,930.418346379648
"27",1992,1085.68579234973,650,1040,1540,1697.5,543.857142857143,893.65171090294
"28",1993,1322.58630136986,866,1130,2030,2472,667.285714285714,1021.99125896934
"29",1994,1049.82465753425,627.8,962,1620,1754,514.857142857143,792.120783866058
"30",1995,914.169863013699,523,908,1350,1540,515,705.849344142293
"31",1996,755.814207650273,465.5,713.5,1170,1350,370.428571428571,585.173731754156
"32",1997,990.515068493151,600,889,1440,1796,469.857142857143,766.647386431317
"33",1998,1051.3698630137,557,781,1960,2188,489.285714285714,828.086347743397
"34",1999,758.767123287671,413,631,1200,1480,351.142857142857,552.437880224798
"35",2000,802.330601092896,498,710,1130,1417.5,467.142857142857,613.549508333676
"36",2001,1297.69589041096,704.8,1160,2016,2318,531.714285714286,1037.33471881865
"37",2002,982.079452054795,523,819,1650,1848,505.428571428571,839.310039731958
"38",2003,724.616438356164,418,607,1198,1396,336.571428571429,548.972935804459
"39",2004,967.904371584699,552.5,819,1610,1840,488.571428571428,671.233607357498
"40",2005,907.775342465753,475,714,1616,1860,360,670.684986953686
"41",2006,1021.28493150685,580.8,936,1536,1706,445.142857142857,778.578823771758
"42",2007,945.830136986301,465,863,1662,1838,385.142857142857,749.289093738913
"43",2008,1360.6693989071,648,1120,2145,2370,479.857142857143,951.199267575883
"44",2009,1386.84657534247,745.8,1130,2320,2678,646,1064.75706038734
"45",2010,1099.66301369863,686.2,936,1776,2292,620.428571428571,859.691872693517
"46",2011,1296.42465753425,707,1120,2036,2364,593,984.028072552298
"47",2012,879.210382513661,418,659,1670,1800,346.428571428571,708.075450869713
"48",2013,1027.85479452055,624.4,923,1560,2058,568,766.772822041264
"49",2014,1121.58356164384,724,976,1788,2310,609.285714285714,904.542406196185
"50",2015,1026.2904109589,657.4,864,1686,2290,594.285714285714,805.602001966607
"51",2016,986.874316939891,563.5,905,1575,1840,475.857142857143,769.744333865356
"52",2017,1235.04657534247,482.4,1090,2116,2424,467,885.269013666073
"53",2018,1290.61095890411,727.8,1070,1990,2780,654.142857142857,951.007469851305
"54",2019,1266.58904109589,680,1230,1810,2088,610.857142857143,1010.33395114713
"55",2020,1321.19672131148,723.5,1210,1990,2675,594.142857142857,1052.77533893735
"56",2021,915.124542124542,541.4,820,1390,1564,504.428571428571,NA
