"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1903,127.000000000001,202.649315068493,30,16.8015833333333,0,0,0
"2",1904,550,334.639344262295,10,74.9022968834444,0,0,0
"3",1905,4590,1354.37808219178,270,529.930833478813,2,5,4
"4",1906,510,208.391780821918,50,100.281830605752,1,6.19999999999997,2
"5",1944,223.4,106.3,78,31.9099392454914,36.1428571428571,38,34.15
"6",1945,250,109.682191780822,87,83.1395551404456,1.71428571428571,14,4
"7",1946,184.8,68.5178082191781,48,47.6278681002453,0,0,0
"8",1947,962.800000000001,499.315068493151,292,286.833853113831,15.5714285714286,64.4,41
"9",1948,234.5,134.565573770492,120,95.8963304000189,24,43,32
"10",1949,425,347.391780821918,198,157.400213399901,36.5714285714286,93,59
"11",1950,470,241.909589041096,200,159.081467710372,36,68,54.6000000000001
"12",1951,977.2,519.52602739726,265,230.698888041512,116.428571428571,145,125
"13",1952,355.5,165.919672131148,152,130.472159886763,7.12857142857143,9.85,8.4
"14",1953,130,60.9317808219178,50,40.5176578970568,2.77142857142857,8.8,7.1
"15",1954,102.2,62.3287671232877,61,42.6551539725101,0.428571428571429,10,7
"16",1955,181.2,107.915068493151,68,55.7952858382552,9,26,18.2
"17",1956,117,56.0909836065574,52,46.4397296689167,0.0428571428571429,1.95,0.750000000000004
"18",1957,346.4,115.085479452055,55,71.8526777185445,1.27142857142857,7.5,2.42
"19",1958,381,217.405479452055,176,163.28078261476,55.8571428571428,68.4,64
"20",1959,270,134.904109589041,101,93.1937108593195,13.7142857142857,34,25
"21",1960,303,186.164480874317,203.5,152.034469381225,11.0285714285714,24.5,15
"22",1961,86.6,63.5506849315069,56,50.1568179899606,26.2857142857143,38,31.2
"23",1962,204,118.635616438356,111,92.5796111194741,36.8571428571429,45,40
"24",1963,96.2,52.8794520547945,51,42.0014330874605,11.4285714285714,20.4,13
"25",1964,67,58.8748633879781,37,31.6506033697632,10.3714285714286,16.5,12
"26",1965,1040,694.276712328767,46,194.090878055694,20.4285714285714,28,23
"27",1966,524.4,279.638356164384,252,239.026163630619,36.4285714285714,50,41
"28",1967,250.8,136.317808219178,116,116.938795962509,30.8571428571429,60.8,52
"29",1968,184,92.0218579234973,65,73.7821001311985,15.5714285714286,25.5,17
"30",1969,199.2,108.613698630137,109,77.7098615816435,15.5714285714286,35,23
"31",1970,248,138.323561643836,158,127.969016921837,3.47142857142857,9.74,6.00000000000001
"32",1971,185,85.1843835616438,61,63.2064395269875,7.3,14,10
"33",1972,128,72.5737704918033,60,54.577929618196,11.3714285714286,27,20
"34",1973,312.6,126.079452054795,88,109.956733637747,18,30.4,24
"35",1974,108.2,44.3195890410959,38,41.302581220342,0.11,1.8,1.02
"36",1975,23,12.3774794520548,13,9.83118924310489,0,0,0
"37",1976,21,7.07806010928962,2.7,4.61634563391498,0,0,0
"38",1977,0.984000000000001,0.396821917808219,0,0,0,0,0
"39",1978,2.96,1.72594520547945,0,0.0934813415210203,0,0,0
"40",1979,0.0560000000000002,1.8881095890411,0,0,0,0,0
"41",1980,4.4,2.0220218579235,0,0.585722525804493,0,0,0
"42",1981,0,0.0578356164383562,0,0,0,0,0
"43",1982,0,0.0348767123287671,0,0,0,0,0
"44",1983,0,0.052986301369863,0,0,0,0,0
"45",1984,0,0.00218579234972678,0,0,0,0,0
"46",1985,0,0.00150684931506849,0,0,0,0,0
"47",1986,18.6,5.0352602739726,0,1.34846942961071,0,0,0
"48",1987,1386,340.952109589041,53,232.693599030443,0,0,0
"49",1988,108.5,39.3660655737705,21,29.7943586240717,0,0,0
"50",1989,0,0.150684931506849,0,0,0,0,0
"51",1990,0,0,0,0,0,0,0
"52",1991,0,0,0,0,0,0,0
"53",1992,0,0,0,0,0,0,0
"54",1993,0,0.0347945205479452,0,0,0,0,0
"55",1994,0,0,0,0,0,0,0
"56",1995,0,43.6545205479452,0,0,0,0,0
"57",1996,127,29.6350546448087,0,19.54485428051,0,0,0
"58",1997,150,91.588301369863,60,44.5016883744781,0,2.38,0
"59",1998,639.6,279.377561643836,226,233.767633362072,0,13.4,5.56000000000001
"60",1999,1574,420.055835616438,143,352.818207871276,0,79.4,59.4
"61",2000,268,115.188524590164,136,100.168248961019,0,0,0
"62",2001,39,15.6271506849315,0,2.80793215916504,0,0,0
"63",2002,0,0,0,0,0,0,0
"64",2003,0,1.31232876712329,0,0,0,0,0
"65",2004,0,0,0,0,0,0,0
"66",2005,0,0,0,0,0,0,0
"67",2006,0,0,0,0,0,0,0
"68",2007,0,0,0,0,0,0,0
